 # t   L1   L2   Linf
  0.10000000E+01  0.12505805E+00  0.13903029E+00  0.20335168E+00
  0.20000000E+01  0.79813892E+12  0.10333851E+13  0.21692782E+13
  0.30000000E+01  0.12042238E+27  0.14464141E+27  0.25767495E+27
  0.40000000E+01  0.18791530E+41  0.20371082E+41  0.29036701E+41
  0.50000000E+01  0.24405442E+55  0.29296451E+55  0.52717416E+55
  0.60000000E+01  0.33320813E+69  0.42825325E+69  0.77149138E+69
  0.70000000E+01  0.57712405E+83  0.62049914E+83  0.89372267E+83
  0.80000000E+01  0.80412608E+97  0.90494010E+97  0.16560041E+98
  0.90000000E+01  0.98838307+111  0.13340348+112  0.25726183+112
  0.10000000E+02  0.17760971+126  0.19403949+126  0.31938563+126
  0.11000000E+02  0.26320440+140  0.28453868+140  0.46194797+140
  0.12000000E+02  0.32389081+154        Infinity  0.78132679+154
  0.13000000E+02  0.54560657+168        Infinity  0.10483958+169
  0.14000000E+02  0.85461603+182        Infinity  0.12674260+183
  0.15000000E+02  0.11169831+197        Infinity  0.23401224+197
  0.16000000E+02  0.16610205+211        Infinity  0.33699112+211
  0.17000000E+02  0.27380424+225        Infinity  0.37546774+225
  0.18000000E+02  0.37683002+239        Infinity  0.69330217+239
  0.19000000E+02  0.50496179+253        Infinity  0.10695618+254
  0.20000000E+02  0.86576104+267        Infinity  0.12963176+268
  0.21000000E+02  0.12484576+282        Infinity  0.20381110+282
  0.22000000E+02  0.15888223+296        Infinity  0.33658606+296
  0.23000000E+02             NaN             NaN  0.00000000E+00
  0.24000000E+02             NaN             NaN  0.00000000E+00
  0.25000000E+02             NaN             NaN  0.00000000E+00
  0.26000000E+02             NaN             NaN  0.00000000E+00
  0.27000000E+02             NaN             NaN  0.00000000E+00
  0.28000000E+02             NaN             NaN  0.00000000E+00
  0.29000000E+02             NaN             NaN  0.00000000E+00
  0.30000000E+02             NaN             NaN  0.00000000E+00
  0.31000000E+02             NaN             NaN  0.00000000E+00
  0.32000000E+02             NaN             NaN  0.00000000E+00
  0.33000000E+02             NaN             NaN  0.00000000E+00
  0.34000000E+02             NaN             NaN  0.00000000E+00
  0.35000000E+02             NaN             NaN  0.00000000E+00
  0.36000000E+02             NaN             NaN  0.00000000E+00
  0.37000000E+02             NaN             NaN  0.00000000E+00
  0.38000000E+02             NaN             NaN  0.00000000E+00
  0.39000000E+02             NaN             NaN  0.00000000E+00
  0.40000000E+02             NaN             NaN  0.00000000E+00
  0.41000000E+02             NaN             NaN  0.00000000E+00
  0.42000000E+02             NaN             NaN  0.00000000E+00
  0.43000000E+02             NaN             NaN  0.00000000E+00
  0.44000000E+02             NaN             NaN  0.00000000E+00
  0.45000000E+02             NaN             NaN  0.00000000E+00
  0.46000000E+02             NaN             NaN  0.00000000E+00
  0.47000000E+02             NaN             NaN  0.00000000E+00
  0.48000000E+02             NaN             NaN  0.00000000E+00
  0.49000000E+02             NaN             NaN  0.00000000E+00
  0.50000000E+02             NaN             NaN  0.00000000E+00
  0.51000000E+02             NaN             NaN  0.00000000E+00
  0.52000000E+02             NaN             NaN  0.00000000E+00
  0.53000000E+02             NaN             NaN  0.00000000E+00
  0.54000000E+02             NaN             NaN  0.00000000E+00
  0.55000000E+02             NaN             NaN  0.00000000E+00
  0.56000000E+02             NaN             NaN  0.00000000E+00
  0.57000000E+02             NaN             NaN  0.00000000E+00
  0.58000000E+02             NaN             NaN  0.00000000E+00
  0.59000000E+02             NaN             NaN  0.00000000E+00
  0.60000000E+02             NaN             NaN  0.00000000E+00
  0.61000000E+02             NaN             NaN  0.00000000E+00
  0.62000000E+02             NaN             NaN  0.00000000E+00
  0.63000000E+02             NaN             NaN  0.00000000E+00
  0.64000000E+02             NaN             NaN  0.00000000E+00
  0.65000000E+02             NaN             NaN  0.00000000E+00
  0.66000000E+02             NaN             NaN  0.00000000E+00
  0.67000000E+02             NaN             NaN  0.00000000E+00
  0.68000000E+02             NaN             NaN  0.00000000E+00
  0.69000000E+02             NaN             NaN  0.00000000E+00
  0.70000000E+02             NaN             NaN  0.00000000E+00
  0.71000000E+02             NaN             NaN  0.00000000E+00
  0.72000000E+02             NaN             NaN  0.00000000E+00
  0.73000000E+02             NaN             NaN  0.00000000E+00
  0.74000000E+02             NaN             NaN  0.00000000E+00
  0.75000000E+02             NaN             NaN  0.00000000E+00
  0.76000000E+02             NaN             NaN  0.00000000E+00
  0.77000000E+02             NaN             NaN  0.00000000E+00
  0.78000000E+02             NaN             NaN  0.00000000E+00
  0.79000000E+02             NaN             NaN  0.00000000E+00
  0.80000000E+02             NaN             NaN  0.00000000E+00
  0.81000000E+02             NaN             NaN  0.00000000E+00
  0.82000000E+02             NaN             NaN  0.00000000E+00
  0.83000000E+02             NaN             NaN  0.00000000E+00
  0.84000000E+02             NaN             NaN  0.00000000E+00
  0.85000000E+02             NaN             NaN  0.00000000E+00
  0.86000000E+02             NaN             NaN  0.00000000E+00
  0.87000000E+02             NaN             NaN  0.00000000E+00
  0.88000000E+02             NaN             NaN  0.00000000E+00
  0.89000000E+02             NaN             NaN  0.00000000E+00
  0.90000000E+02             NaN             NaN  0.00000000E+00
  0.91000000E+02             NaN             NaN  0.00000000E+00
  0.92000000E+02             NaN             NaN  0.00000000E+00
  0.93000000E+02             NaN             NaN  0.00000000E+00
  0.94000000E+02             NaN             NaN  0.00000000E+00
  0.95000000E+02             NaN             NaN  0.00000000E+00
  0.96000000E+02             NaN             NaN  0.00000000E+00
  0.97000000E+02             NaN             NaN  0.00000000E+00
  0.98000000E+02             NaN             NaN  0.00000000E+00
  0.99000000E+02             NaN             NaN  0.00000000E+00
  0.10000000E+03             NaN             NaN  0.00000000E+00
