 # t   L1   L2   Linf
  0.10000000E+01  0.26250406E-01  0.29140369E-01  0.41207936E-01
  0.20000000E+01  0.51418727E-01  0.57080678E-01  0.80718215E-01
  0.30000000E+01  0.75549505E-01  0.83870332E-01  0.11860068E+00
  0.40000000E+01  0.98685455E-01  0.10955670E+00  0.15492230E+00
  0.50000000E+01  0.12086753E+00  0.13418520E+00  0.18974730E+00
  0.60000000E+01  0.14213501E+00  0.15779939E+00  0.22313726E+00
  0.70000000E+01  0.16252554E+00  0.18044101E+00  0.25515123E+00
  0.80000000E+01  0.18207524E+00  0.20215012E+00  0.28584584E+00
  0.90000000E+01  0.20082131E+00  0.22296509E+00  0.31527944E+00
  0.10000000E+02  0.21879685E+00  0.24292274E+00  0.34350393E+00
  0.11000000E+02  0.23603189E+00  0.26205837E+00  0.37056639E+00
  0.12000000E+02  0.25255688E+00  0.28040580E+00  0.39651461E+00
  0.13000000E+02  0.26840105E+00  0.29799751E+00  0.42139439E+00
  0.14000000E+02  0.28359239E+00  0.31486458E+00  0.44524967E+00
  0.15000000E+02  0.29815778E+00  0.33103686E+00  0.46812257E+00
  0.16000000E+02  0.31212296E+00  0.34654296E+00  0.49005350E+00
  0.17000000E+02  0.32551265E+00  0.36141029E+00  0.51108120E+00
  0.18000000E+02  0.33835051E+00  0.37566516E+00  0.53124280E+00
  0.19000000E+02  0.35065926E+00  0.38933278E+00  0.55057395E+00
  0.20000000E+02  0.36246068E+00  0.40243732E+00  0.56910878E+00
  0.21000000E+02  0.37377565E+00  0.41500198E+00  0.58688007E+00
  0.22000000E+02  0.38462419E+00  0.42704898E+00  0.60391922E+00
  0.23000000E+02  0.39502550E+00  0.43859962E+00  0.62025635E+00
  0.24000000E+02  0.40499800E+00  0.44967436E+00  0.63592035E+00
  0.25000000E+02  0.41455934E+00  0.46029277E+00  0.65093891E+00
  0.26000000E+02  0.42372644E+00  0.47047366E+00  0.66533859E+00
  0.27000000E+02  0.43251554E+00  0.48023503E+00  0.67914485E+00
  0.28000000E+02  0.44111727E+00  0.48968231E+00  0.69246803E+00
  0.29000000E+02  0.44920363E+00  0.49865271E+00  0.70515651E+00
  0.30000000E+02  0.45695697E+00  0.50725344E+00  0.71732212E+00
  0.31000000E+02  0.46439099E+00  0.51549974E+00  0.72898639E+00
  0.32000000E+02  0.47151880E+00  0.52340620E+00  0.74016994E+00
  0.33000000E+02  0.47835302E+00  0.53098681E+00  0.75089256E+00
  0.34000000E+02  0.48490571E+00  0.53825499E+00  0.76117322E+00
  0.35000000E+02  0.49118846E+00  0.54522361E+00  0.77103011E+00
  0.36000000E+02  0.49721237E+00  0.55190499E+00  0.78048067E+00
  0.37000000E+02  0.50298810E+00  0.55831098E+00  0.78954164E+00
  0.38000000E+02  0.50852584E+00  0.56445290E+00  0.79822904E+00
  0.39000000E+02  0.51383540E+00  0.57034164E+00  0.80655826E+00
  0.40000000E+02  0.51892616E+00  0.57598762E+00  0.81454405E+00
  0.41000000E+02  0.52380713E+00  0.58140084E+00  0.82220054E+00
  0.42000000E+02  0.52848694E+00  0.58659089E+00  0.82954131E+00
  0.43000000E+02  0.53297387E+00  0.59156695E+00  0.83657934E+00
  0.44000000E+02  0.53727586E+00  0.59633784E+00  0.84332710E+00
  0.45000000E+02  0.54140052E+00  0.60091202E+00  0.84979656E+00
  0.46000000E+02  0.54535514E+00  0.60529758E+00  0.85599917E+00
  0.47000000E+02  0.54914674E+00  0.60950230E+00  0.86194592E+00
