 # t   L1   L2   Linf
  0.10000000E+01  0.31581222E-04  0.35027759E-04  0.49413009E-04
  0.20000000E+01  0.63091224E-04  0.69976602E-04  0.98714591E-04
  0.30000000E+01  0.94601028E-04  0.10492541E-03  0.14801588E-03
  0.40000000E+01  0.12618252E-03  0.13995314E-03  0.19742928E-03
  0.50000000E+01  0.15769239E-03  0.17490192E-03  0.24673067E-03
  0.60000000E+01  0.18920187E-03  0.20985065E-03  0.29603147E-03
  0.70000000E+01  0.22078365E-03  0.24487836E-03  0.34544529E-03
  0.80000000E+01  0.25229344E-03  0.27982708E-03  0.39474656E-03
  0.90000000E+01  0.28380251E-03  0.31477573E-03  0.44404675E-03
  0.10000000E+02  0.31538460E-03  0.34980341E-03  0.49346103E-03
  0.11000000E+02  0.34689435E-03  0.38475206E-03  0.54276224E-03
  0.12000000E+02  0.37847394E-03  0.41977964E-03  0.59217265E-03
  0.13000000E+02  0.40998538E-03  0.45472829E-03  0.64147649E-03
  0.14000000E+02  0.44149513E-03  0.48967687E-03  0.69077772E-03
  0.15000000E+02  0.47307437E-03  0.52470440E-03  0.74018758E-03
  0.16000000E+02  0.50458599E-03  0.55965300E-03  0.78949168E-03
  0.17000000E+02  0.53609578E-03  0.59460151E-03  0.83879299E-03
  0.18000000E+02  0.56767470E-03  0.62962900E-03  0.88820233E-03
  0.19000000E+02  0.59918642E-03  0.66457754E-03  0.93750660E-03
  0.20000000E+02  0.63069630E-03  0.69952599E-03  0.98680806E-03
  0.21000000E+02  0.66227491E-03  0.73455343E-03  0.10362169E-02
  0.22000000E+02  0.69378667E-03  0.76950192E-03  0.10855212E-02
  0.23000000E+02  0.72529668E-03  0.80445030E-03  0.11348229E-02
  0.24000000E+02  0.75687501E-03  0.83947769E-03  0.11842313E-02
  0.25000000E+02  0.78838674E-03  0.87442612E-03  0.12335356E-02
  0.26000000E+02  0.81989692E-03  0.90937443E-03  0.12828376E-02
  0.27000000E+02  0.85147499E-03  0.94440178E-03  0.13322455E-02
  0.28000000E+02  0.88298663E-03  0.97935016E-03  0.13815497E-02
  0.29000000E+02  0.91449703E-03  0.10142984E-02  0.14308520E-02
  0.30000000E+02  0.94607486E-03  0.10493257E-02  0.14802596E-02
  0.31000000E+02  0.97758634E-03  0.10842740E-02  0.15295634E-02
  0.32000000E+02  0.10090970E-02  0.11192222E-02  0.15788662E-02
  0.33000000E+02  0.10406746E-02  0.11542495E-02  0.16282734E-02
  0.34000000E+02  0.10721859E-02  0.11891977E-02  0.16775769E-02
  0.35000000E+02  0.11036968E-02  0.12241458E-02  0.17268802E-02
  0.36000000E+02  0.11352743E-02  0.12591731E-02  0.17762871E-02
  0.37000000E+02  0.11667852E-02  0.12941213E-02  0.18255902E-02
  0.38000000E+02  0.11982965E-02  0.13290693E-02  0.18748940E-02
  0.39000000E+02  0.12297980E-02  0.13640172E-02  0.19241824E-02
  0.40000000E+02  0.12613844E-02  0.13990446E-02  0.19736031E-02
  0.41000000E+02  0.12928961E-02  0.14339926E-02  0.20229075E-02
  0.42000000E+02  0.13243964E-02  0.14689404E-02  0.20721942E-02
  0.43000000E+02  0.13559833E-02  0.15039678E-02  0.21216157E-02
  0.44000000E+02  0.13874955E-02  0.15389157E-02  0.21709208E-02
  0.45000000E+02  0.14189946E-02  0.15738634E-02  0.22202057E-02
  0.46000000E+02  0.14505821E-02  0.16088909E-02  0.22696280E-02
  0.47000000E+02  0.14820947E-02  0.16438387E-02  0.23189339E-02
  0.48000000E+02  0.15135926E-02  0.16787863E-02  0.23682168E-02
  0.49000000E+02  0.15451807E-02  0.17138137E-02  0.24176400E-02
  0.50000000E+02  0.15766938E-02  0.17487615E-02  0.24669467E-02
  0.51000000E+02  0.16081913E-02  0.17837090E-02  0.25162291E-02
  0.52000000E+02  0.16397790E-02  0.18187364E-02  0.25656517E-02
  0.53000000E+02  0.16712927E-02  0.18536841E-02  0.26149593E-02
  0.54000000E+02  0.17027898E-02  0.18886315E-02  0.26642411E-02
  0.55000000E+02  0.17343772E-02  0.19236589E-02  0.27136631E-02
  0.56000000E+02  0.17658915E-02  0.19586065E-02  0.27629717E-02
  0.57000000E+02  0.17973883E-02  0.19935538E-02  0.28122530E-02
  0.58000000E+02  0.18289752E-02  0.20285812E-02  0.28616742E-02
  0.59000000E+02  0.18604901E-02  0.20635287E-02  0.29109838E-02
  0.60000000E+02  0.18919866E-02  0.20984760E-02  0.29602647E-02
  0.61000000E+02  0.19235729E-02  0.21335034E-02  0.30096849E-02
  0.62000000E+02  0.19550886E-02  0.21684508E-02  0.30589956E-02
  0.63000000E+02  0.19865849E-02  0.22033980E-02  0.31082763E-02
  0.64000000E+02  0.20181705E-02  0.22384253E-02  0.31576953E-02
  0.65000000E+02  0.20496868E-02  0.22733727E-02  0.32070072E-02
  0.66000000E+02  0.20811830E-02  0.23083198E-02  0.32562875E-02
  0.67000000E+02  0.21127678E-02  0.23433471E-02  0.33057054E-02
  0.68000000E+02  0.21442849E-02  0.23782944E-02  0.33550184E-02
  0.69000000E+02  0.21757809E-02  0.24132414E-02  0.34042986E-02
  0.70000000E+02  0.22073649E-02  0.24482687E-02  0.34537151E-02
  0.71000000E+02  0.22388828E-02  0.24832159E-02  0.35030294E-02
  0.72000000E+02  0.22703787E-02  0.25181628E-02  0.35523095E-02
  0.73000000E+02  0.23019618E-02  0.25531900E-02  0.36017244E-02
  0.74000000E+02  0.23334806E-02  0.25881372E-02  0.36510402E-02
  0.75000000E+02  0.23649764E-02  0.26230840E-02  0.37003202E-02
  0.76000000E+02  0.23965584E-02  0.26581113E-02  0.37497334E-02
  0.77000000E+02  0.24280781E-02  0.26930583E-02  0.37990506E-02
  0.78000000E+02  0.24595740E-02  0.27280050E-02  0.38483307E-02
  0.79000000E+02  0.24911549E-02  0.27630323E-02  0.38977421E-02
  0.80000000E+02  0.25226755E-02  0.27979793E-02  0.39470608E-02
  0.81000000E+02  0.25542526E-02  0.28330059E-02  0.39964669E-02
  0.82000000E+02  0.25857511E-02  0.28679531E-02  0.40457505E-02
  0.83000000E+02  0.26172727E-02  0.29029000E-02  0.40950707E-02
  0.84000000E+02  0.26488500E-02  0.29379266E-02  0.41444770E-02
  0.85000000E+02  0.26803471E-02  0.29728738E-02  0.41937585E-02
  0.86000000E+02  0.27118698E-02  0.30078206E-02  0.42430804E-02
  0.87000000E+02  0.27434472E-02  0.30428472E-02  0.42924869E-02
  0.88000000E+02  0.27749429E-02  0.30777943E-02  0.43417661E-02
  0.89000000E+02  0.28064666E-02  0.31127410E-02  0.43910897E-02
  0.90000000E+02  0.28380443E-02  0.31477676E-02  0.44404966E-02
  0.91000000E+02  0.28695385E-02  0.31827146E-02  0.44897734E-02
  0.92000000E+02  0.29010633E-02  0.32176613E-02  0.45390988E-02
  0.93000000E+02  0.29326412E-02  0.32526878E-02  0.45885059E-02
  0.94000000E+02  0.29641338E-02  0.32876347E-02  0.46377803E-02
  0.95000000E+02  0.29956598E-02  0.33225813E-02  0.46871076E-02
  0.96000000E+02  0.30272379E-02  0.33576078E-02  0.47365151E-02
  0.97000000E+02  0.30587289E-02  0.33925547E-02  0.47857869E-02
  0.98000000E+02  0.30902561E-02  0.34275012E-02  0.48351161E-02
  0.99000000E+02  0.31218345E-02  0.34625276E-02  0.48845239E-02
  0.10000000E+03  0.28855911E-02  0.32005058E-02  0.45148915E-02
