 # t   L1   L2   Linf
  0.10000000E+01  0.82091385E-01  0.12483905E+00  0.46140448E+00
  0.20000000E+01  0.12735015E+00  0.16204091E+00  0.48525948E+00
  0.30000000E+01  0.16406461E+00  0.18983603E+00  0.49311125E+00
  0.40000000E+01  0.19356158E+00  0.21164935E+00  0.50548921E+00
  0.50000000E+01  0.22097062E+00  0.23057710E+00  0.54656348E+00
  0.60000000E+01  0.24367241E+00  0.24665228E+00  0.57823093E+00
  0.70000000E+01  0.26652388E+00  0.26256768E+00  0.60250883E+00
  0.80000000E+01  0.28466754E+00  0.27506960E+00  0.62348771E+00
  0.90000000E+01  0.30349823E+00  0.28765803E+00  0.64334995E+00
  0.10000000E+02  0.31865457E+00  0.29849522E+00  0.66112827E+00
  0.11000000E+02  0.33511056E+00  0.30959915E+00  0.67544278E+00
  0.12000000E+02  0.34830815E+00  0.31928439E+00  0.68738161E+00
  0.13000000E+02  0.36350499E+00  0.32989230E+00  0.69648099E+00
  0.14000000E+02  0.37451920E+00  0.33801537E+00  0.70521668E+00
  0.15000000E+02  0.38740391E+00  0.34676488E+00  0.71558483E+00
  0.16000000E+02  0.39706057E+00  0.35405676E+00  0.72550916E+00
  0.17000000E+02  0.40875694E+00  0.36217604E+00  0.73319055E+00
  0.18000000E+02  0.41734861E+00  0.36896164E+00  0.73947500E+00
  0.19000000E+02  0.42856650E+00  0.37678210E+00  0.74364585E+00
  0.20000000E+02  0.43566762E+00  0.38243940E+00  0.74814656E+00
  0.21000000E+02  0.44472866E+00  0.38856684E+00  0.75591743E+00
  0.22000000E+02  0.45143936E+00  0.39412458E+00  0.76139261E+00
  0.23000000E+02  0.46007994E+00  0.39999847E+00  0.76606378E+00
  0.24000000E+02  0.46619299E+00  0.40493429E+00  0.76884038E+00
  0.25000000E+02  0.47463488E+00  0.41068340E+00  0.77133388E+00
  0.26000000E+02  0.47912053E+00  0.41460145E+00  0.77383722E+00
  0.27000000E+02  0.48571081E+00  0.41897662E+00  0.77956648E+00
  0.28000000E+02  0.49020236E+00  0.42308108E+00  0.78319092E+00
  0.29000000E+02  0.49697528E+00  0.42746739E+00  0.78611596E+00
  0.30000000E+02  0.50117639E+00  0.43096045E+00  0.78727061E+00
  0.31000000E+02  0.50783555E+00  0.43534663E+00  0.78830212E+00
  0.32000000E+02  0.51060927E+00  0.43801504E+00  0.78976752E+00
  0.33000000E+02  0.51555723E+00  0.44112461E+00  0.79421777E+00
  0.34000000E+02  0.51867891E+00  0.44420491E+00  0.79668642E+00
  0.35000000E+02  0.52392180E+00  0.44753333E+00  0.79849402E+00
  0.36000000E+02  0.52677316E+00  0.44999195E+00  0.79860266E+00
  0.37000000E+02  0.53219882E+00  0.45340975E+00  0.79869922E+00
  0.38000000E+02  0.53377988E+00  0.45518432E+00  0.79961940E+00
  0.39000000E+02  0.53762757E+00  0.45738103E+00  0.80322403E+00
  0.40000000E+02  0.53976800E+00  0.45974662E+00  0.80493745E+00
  0.41000000E+02  0.54403337E+00  0.46232646E+00  0.80600129E+00
  0.42000000E+02  0.54583887E+00  0.46404517E+00  0.80541238E+00
  0.43000000E+02  0.55039831E+00  0.46677675E+00  0.80489410E+00
  0.44000000E+02  0.55118676E+00  0.46791376E+00  0.80553948E+00
  0.45000000E+02  0.55417424E+00  0.46944994E+00  0.80857299E+00
  0.46000000E+02  0.55566866E+00  0.47132142E+00  0.80978407E+00
  0.47000000E+02  0.55928910E+00  0.47337234E+00  0.81034533E+00
  0.48000000E+02  0.56030350E+00  0.47456115E+00  0.80928543E+00
  0.49000000E+02  0.56424703E+00  0.47680600E+00  0.80835881E+00
  0.50000000E+02  0.56447558E+00  0.47748784E+00  0.80887997E+00
  0.51000000E+02  0.56681108E+00  0.47854230E+00  0.81152514E+00
  0.52000000E+02  0.56791438E+00  0.48007513E+00  0.81240047E+00
  0.53000000E+02  0.57106157E+00  0.48175158E+00  0.81262092E+00
  0.54000000E+02  0.57158451E+00  0.48255921E+00  0.81124236E+00
  0.55000000E+02  0.57500934E+00  0.48445739E+00  0.81004453E+00
  0.56000000E+02  0.57482387E+00  0.48481306E+00  0.81052367E+00
  0.57000000E+02  0.57665271E+00  0.48551201E+00  0.81290512E+00
  0.58000000E+02  0.57752744E+00  0.48681489E+00  0.81355665E+00
  0.59000000E+02  0.58033008E+00  0.48822496E+00  0.81354687E+00
  0.60000000E+02  0.58051183E+00  0.48875643E+00  0.81195379E+00
  0.61000000E+02  0.58359163E+00  0.49040596E+00  0.81057702E+00
  0.62000000E+02  0.58304357E+00  0.49052649E+00  0.81105641E+00
  0.63000000E+02  0.58451828E+00  0.49095903E+00  0.81326010E+00
  0.64000000E+02  0.58522429E+00  0.49210773E+00  0.81376380E+00
  0.65000000E+02  0.58777903E+00  0.49332686E+00  0.81360003E+00
  0.66000000E+02  0.58771458E+00  0.49365645E+00  0.81186418E+00
  0.67000000E+02  0.59055926E+00  0.49512589E+00  0.81037096E+00
  0.68000000E+02  0.58970951E+00  0.49507557E+00  0.81086950E+00
  0.69000000E+02  0.59097549E+00  0.49530481E+00  0.81295506E+00
  0.70000000E+02  0.59151669E+00  0.49635203E+00  0.81336264E+00
  0.71000000E+02  0.59389011E+00  0.49743291E+00  0.81309767E+00
  0.72000000E+02  0.59364684E+00  0.49761328E+00  0.81126869E+00
  0.73000000E+02  0.59630871E+00  0.49895067E+00  0.80970140E+00
  0.74000000E+02  0.59522736E+00  0.49877506E+00  0.81022446E+00
  0.75000000E+02  0.59634739E+00  0.49884594E+00  0.81223334E+00
  0.76000000E+02  0.59679382E+00  0.49982835E+00  0.81258005E+00
  0.77000000E+02  0.59900468E+00  0.50080779E+00  0.81225051E+00
  0.78000000E+02  0.59863076E+00  0.50087654E+00  0.81036277E+00
  0.79000000E+02  0.60114675E+00  0.50211561E+00  0.80875010E+00
  0.80000000E+02  0.59988543E+00  0.50184717E+00  0.80929553E+00
  0.81000000E+02  0.60179036E+00  0.50273050E+00  0.81038210E+00
  0.82000000E+02  0.60020422E+00  0.50165079E+00  0.81156636E+00
  0.83000000E+02  0.60336867E+00  0.50363947E+00  0.81119769E+00
  0.84000000E+02  0.60278339E+00  0.50356438E+00  0.81033612E+00
  0.85000000E+02  0.60529293E+00  0.50478750E+00  0.80763631E+00
  0.86000000E+02  0.60391415E+00  0.50444952E+00  0.80819807E+00
  0.87000000E+02  0.60576207E+00  0.50527223E+00  0.80926090E+00
  0.88000000E+02  0.60405051E+00  0.50408392E+00  0.81042044E+00
  0.89000000E+02  0.60715287E+00  0.50606010E+00  0.81003026E+00
  0.90000000E+02  0.60649641E+00  0.50592221E+00  0.80915316E+00
  0.91000000E+02  0.60890579E+00  0.50708541E+00  0.80643740E+00
  0.92000000E+02  0.60748994E+00  0.50669470E+00  0.80700772E+00
  0.93000000E+02  0.60924477E+00  0.50747101E+00  0.80805863E+00
  0.94000000E+02  0.60743149E+00  0.50619246E+00  0.80920654E+00
  0.95000000E+02  0.61051152E+00  0.50816592E+00  0.80880705E+00
  0.96000000E+02  0.60977773E+00  0.50797933E+00  0.80792382E+00
  0.97000000E+02  0.61210070E+00  0.50909488E+00  0.80520274E+00
  0.98000000E+02  0.61067769E+00  0.50866373E+00  0.80577350E+00
  0.99000000E+02  0.61234148E+00  0.50940369E+00  0.80682041E+00
  0.10000000E+03  0.61044455E+00  0.50804893E+00  0.80796575E+00
  0.10100000E+03  0.61351474E+00  0.51002608E+00  0.80756540E+00
  0.10200000E+03  0.61271944E+00  0.50980127E+00  0.80668226E+00
  0.10300000E+03  0.61497016E+00  0.51087798E+00  0.80396319E+00
  0.10400000E+03  0.61356237E+00  0.51041547E+00  0.80452655E+00
  0.10500000E+03  0.61512825E+00  0.51112621E+00  0.80557476E+00
  0.10600000E+03  0.61316165E+00  0.50970615E+00  0.80672380E+00
  0.10700000E+03  0.61622743E+00  0.51169109E+00  0.80632837E+00
  0.10800000E+03  0.61540323E+00  0.51143592E+00  0.80544943E+00
  0.10900000E+03  0.61758044E+00  0.51248020E+00  0.80273734E+00
  0.11000000E+03  0.61618235E+00  0.51199312E+00  0.80328623E+00
  0.11100000E+03  0.61767042E+00  0.51267976E+00  0.80433923E+00
  0.11200000E+03  0.61564530E+00  0.51120301E+00  0.80549626E+00
  0.11300000E+03  0.61870148E+00  0.51319827E+00  0.80510973E+00
  0.11400000E+03  0.61785626E+00  0.51291873E+00  0.80423759E+00
  0.11500000E+03  0.61998520E+00  0.51393530E+00  0.80153586E+00
  0.11600000E+03  0.61858296E+00  0.51342880E+00  0.80206410E+00
  0.11700000E+03  0.62002415E+00  0.51409502E+00  0.80312416E+00
  0.11800000E+03  0.61792758E+00  0.51256851E+00  0.80429211E+00
  0.11900000E+03  0.62097639E+00  0.51457553E+00  0.80391713E+00
  0.12000000E+03  0.62011618E+00  0.51427627E+00  0.80305346E+00
  0.12100000E+03  0.62220206E+00  0.51526862E+00  0.80036434E+00
  0.12200000E+03  0.62079894E+00  0.51474668E+00  0.80086670E+00
  0.12300000E+03  0.62219781E+00  0.51539516E+00  0.80193524E+00
  0.12400000E+03  0.62003894E+00  0.51382455E+00  0.80311606E+00
  0.12500000E+03  0.62308258E+00  0.51584406E+00  0.80275443E+00
  0.12600000E+03  0.62221209E+00  0.51552872E+00  0.80190020E+00
  0.12700000E+03  0.62425897E+00  0.51649950E+00  0.79922516E+00
  0.12800000E+03  0.62285727E+00  0.51596524E+00  0.79969733E+00
  0.12900000E+03  0.62421742E+00  0.51659794E+00  0.80077521E+00
  0.13000000E+03  0.62200390E+00  0.51498792E+00  0.80197019E+00
  0.13100000E+03  0.62504387E+00  0.51702017E+00  0.80162304E+00
  0.13200000E+03  0.62416679E+00  0.51669167E+00  0.80077880E+00
  0.13300000E+03  0.62617790E+00  0.51764292E+00  0.79811874E+00
  0.13400000E+03  0.62477924E+00  0.51709880E+00  0.79855726E+00
  0.13500000E+03  0.62610354E+00  0.51771719E+00  0.79964497E+00
  0.13600000E+03  0.62384186E+00  0.51607171E+00  0.80085491E+00
  0.13700000E+03  0.62687916E+00  0.51811659E+00  0.80052294E+00
  0.13800000E+03  0.62599842E+00  0.51777730E+00  0.79968895E+00
  0.13900000E+03  0.62798413E+00  0.51871063E+00  0.79704440E+00
  0.14000000E+03  0.62658188E+00  0.51815864E+00  0.79744658E+00
  0.14100000E+03  0.62787267E+00  0.51876383E+00  0.79854434E+00
  0.14200000E+03  0.62556840E+00  0.51708625E+00  0.79976969E+00
  0.14300000E+03  0.62860366E+00  0.51914347E+00  0.79945328E+00
  0.14400000E+03  0.62772163E+00  0.51879534E+00  0.79862960E+00
  0.14500000E+03  0.62968644E+00  0.51971201E+00  0.79600082E+00
  0.14600000E+03  0.62827901E+00  0.51915381E+00  0.79636462E+00
  0.14700000E+03  0.62953824E+00  0.51974664E+00  0.79747250E+00
  0.14800000E+03  0.62719620E+00  0.51803985E+00  0.79871348E+00
  0.14900000E+03  0.63022983E+00  0.52010897E+00  0.79841280E+00
  0.15000000E+03  0.62935264E+00  0.51975365E+00  0.79759935E+00
  0.15100000E+03  0.63129248E+00  0.52065469E+00  0.79498640E+00
  0.15200000E+03  0.62989367E+00  0.52009165E+00  0.79531037E+00
  0.15300000E+03  0.63111134E+00  0.52067279E+00  0.79642831E+00
  0.15400000E+03  0.62873577E+00  0.51893930E+00  0.79768497E+00
  0.15500000E+03  0.63176795E+00  0.52101981E+00  0.79740000E+00
  0.15600000E+03  0.63090112E+00  0.52065867E+00  0.79659665E+00
  0.15700000E+03  0.63281209E+00  0.52154495E+00  0.79399945E+00
  0.15800000E+03  0.63142732E+00  0.52097821E+00  0.79428264E+00
  0.15900000E+03  0.63109544E+00  0.52022854E+00  0.79632151E+00
  0.16000000E+03  0.63175988E+00  0.52129252E+00  0.79668276E+00
  0.16100000E+03  0.63322442E+00  0.52188086E+00  0.79641339E+00
  0.16200000E+03  0.63248645E+00  0.52155582E+00  0.79460062E+00
  0.16300000E+03  0.63425353E+00  0.52238802E+00  0.79303831E+00
  0.16400000E+03  0.63288420E+00  0.52181858E+00  0.79328016E+00
  0.16500000E+03  0.63248062E+00  0.52103888E+00  0.79533449E+00
  0.16600000E+03  0.63317320E+00  0.52212150E+00  0.79570547E+00
  0.16700000E+03  0.63461111E+00  0.52269819E+00  0.79545151E+00
  0.16800000E+03  0.63388348E+00  0.52236869E+00  0.79365411E+00
  0.16900000E+03  0.63562384E+00  0.52318833E+00  0.79210143E+00
  0.17000000E+03  0.63427113E+00  0.52261707E+00  0.79230174E+00
  0.17100000E+03  0.63380544E+00  0.52180853E+00  0.79437129E+00
  0.17200000E+03  0.63451977E+00  0.52290968E+00  0.79475177E+00
  0.17300000E+03  0.63593206E+00  0.52347514E+00  0.79451296E+00
  0.17400000E+03  0.63521453E+00  0.52314213E+00  0.79273067E+00
  0.17500000E+03  0.63693952E+00  0.52394970E+00  0.79118736E+00
  0.17600000E+03  0.63559405E+00  0.52337736E+00  0.79134619E+00
  0.17700000E+03  0.63506832E+00  0.52254107E+00  0.79343070E+00
  0.17800000E+03  0.63580514E+00  0.52366059E+00  0.79382046E+00
  0.17900000E+03  0.63719273E+00  0.52421517E+00  0.79359650E+00
  0.18000000E+03  0.63648500E+00  0.52387949E+00  0.79182900E+00
  0.18100000E+03  0.63819949E+00  0.52467543E+00  0.79029479E+00
  0.18200000E+03  0.63685811E+00  0.52410265E+00  0.79041245E+00
  0.18300000E+03  0.63627428E+00  0.52323961E+00  0.79251162E+00
  0.18400000E+03  0.63703420E+00  0.52437727E+00  0.79291039E+00
  0.18500000E+03  0.63839790E+00  0.52492130E+00  0.79270096E+00
  0.18600000E+03  0.63769964E+00  0.52458370E+00  0.79094792E+00
  0.18700000E+03  0.63940358E+00  0.52536839E+00  0.78942255E+00
  0.18800000E+03  0.63806784E+00  0.52479577E+00  0.78949953E+00
  0.18900000E+03  0.63742895E+00  0.52390685E+00  0.79161302E+00
  0.19000000E+03  0.63821122E+00  0.52506242E+00  0.79202057E+00
  0.19100000E+03  0.63955179E+00  0.52559619E+00  0.79182532E+00
  0.19200000E+03  0.63886265E+00  0.52525733E+00  0.79008638E+00
  0.19300000E+03  0.64055597E+00  0.52603114E+00  0.78856959E+00
  0.19400000E+03  0.63922726E+00  0.52545917E+00  0.78860651E+00
  0.19500000E+03  0.63853759E+00  0.52454520E+00  0.79073398E+00
  0.19600000E+03  0.63934000E+00  0.52571841E+00  0.79115005E+00
  0.19700000E+03  0.64065814E+00  0.52624220E+00  0.79096863E+00
  0.19800000E+03  0.63997776E+00  0.52590267E+00  0.78924343E+00
  0.19900000E+03  0.64166040E+00  0.52666593E+00  0.78773496E+00
  0.20000000E+03  0.64033995E+00  0.52609507E+00  0.78773258E+00
  0.20100000E+03  0.63960099E+00  0.52515680E+00  0.78987367E+00
  0.20200000E+03  0.64042392E+00  0.52634737E+00  0.79029801E+00
  0.20300000E+03  0.64172028E+00  0.52686143E+00  0.79013005E+00
  0.20400000E+03  0.64104831E+00  0.52652176E+00  0.78841822E+00
  0.20500000E+03  0.64272021E+00  0.52727477E+00  0.78691782E+00
  0.20600000E+03  0.64140912E+00  0.52670544E+00  0.78687697E+00
  0.20700000E+03  0.64063389E+00  0.52574356E+00  0.78903132E+00
  0.20800000E+03  0.64146604E+00  0.52695120E+00  0.78946370E+00
  0.20900000E+03  0.64274121E+00  0.52745576E+00  0.78930883E+00
  0.21000000E+03  0.64207729E+00  0.52711645E+00  0.78761000E+00
  0.21100000E+03  0.64373842E+00  0.52785949E+00  0.78611742E+00
  0.21200000E+03  0.64243764E+00  0.52729204E+00  0.78603900E+00
  0.21300000E+03  0.64162852E+00  0.52630722E+00  0.78820624E+00
  0.21400000E+03  0.64246909E+00  0.52753162E+00  0.78864642E+00
  0.21500000E+03  0.64372363E+00  0.52802691E+00  0.78850427E+00
  0.21600000E+03  0.64306741E+00  0.52768839E+00  0.78681807E+00
  0.21700000E+03  0.64471774E+00  0.52842173E+00  0.78533308E+00
  0.21800000E+03  0.64342813E+00  0.52785648E+00  0.78521803E+00
  0.21900000E+03  0.64258610E+00  0.52684932E+00  0.78739781E+00
  0.22000000E+03  0.64343554E+00  0.52809018E+00  0.78784555E+00
  0.22100000E+03  0.64466998E+00  0.52857642E+00  0.78771576E+00
  0.22200000E+03  0.64402113E+00  0.52823907E+00  0.78604183E+00
  0.22300000E+03  0.64566063E+00  0.52896297E+00  0.78456418E+00
  0.22400000E+03  0.64438296E+00  0.52840022E+00  0.78441349E+00
  0.22500000E+03  0.64350895E+00  0.52737129E+00  0.78660544E+00
  0.22600000E+03  0.64436766E+00  0.52862829E+00  0.78706051E+00
  0.22700000E+03  0.64558249E+00  0.52910569E+00  0.78694272E+00
  0.22800000E+03  0.64494068E+00  0.52876988E+00  0.78528069E+00
  0.22900000E+03  0.64656935E+00  0.52948457E+00  0.78381017E+00
  0.23000000E+03  0.64530429E+00  0.52892459E+00  0.78362483E+00
  0.23100000E+03  0.64439918E+00  0.52787443E+00  0.78582859E+00
  0.23200000E+03  0.64526749E+00  0.52914725E+00  0.78629078E+00
  0.23300000E+03  0.64646320E+00  0.52961602E+00  0.78618463E+00
  0.23400000E+03  0.64582810E+00  0.52928206E+00  0.78453415E+00
  0.23500000E+03  0.64744595E+00  0.52998777E+00  0.78307054E+00
  0.23600000E+03  0.64619408E+00  0.52943078E+00  0.78285156E+00
  0.23700000E+03  0.64525870E+00  0.52835991E+00  0.78506678E+00
  0.23800000E+03  0.64614314E+00  0.52964825E+00  0.78553587E+00
  0.23900000E+03  0.64731394E+00  0.53010857E+00  0.78544101E+00
  0.24000000E+03  0.64668526E+00  0.52977675E+00  0.78380173E+00
  0.24100000E+03  0.64829229E+00  0.53047371E+00  0.78234482E+00
