 i       X     FEXACT   FI_LAXF   ERR_LAXF
   0   0.00000   0.00000  -0.00154   0.00154
   1   0.01010   0.06342  -0.00059   0.06401
   2   0.02020   0.12660   0.00036   0.12624
   3   0.03030   0.18927   0.00130   0.18797
   4   0.04040   0.25112   0.00224   0.24887
   5   0.05051   0.31201   0.00317   0.30884
   6   0.06061   0.37165   0.00409   0.36756
   7   0.07071   0.42979   0.00499   0.42480
   8   0.08081   0.48620   0.00588   0.48033
   9   0.09091   0.54066   0.00673   0.53392
  10   0.10101   0.59293   0.00756   0.58537
  11   0.11111   0.64277   0.00837   0.63440
  12   0.12121   0.69007   0.00913   0.68094
  13   0.13131   0.73455   0.00986   0.72469
  14   0.14141   0.77611   0.01055   0.76556
  15   0.15152   0.81455   0.01120   0.80335
  16   0.16162   0.84971   0.01180   0.83790
  17   0.17172   0.88144   0.01236   0.86908
  18   0.18182   0.90963   0.01286   0.89676
  19   0.19192   0.93415   0.01332   0.92083
  20   0.20202   0.95489   0.01372   0.94117
  21   0.21212   0.97180   0.01406   0.95774
  22   0.22222   0.98480   0.01435   0.97045
  23   0.23232   0.99384   0.01458   0.97925
  24   0.24242   0.99887   0.01475   0.98411
  25   0.25253   0.99987   0.01487   0.98501
  26   0.26263   0.99685   0.01492   0.98194
  27   0.27273   0.98982   0.01491   0.97491
  28   0.28283   0.97881   0.01484   0.96397
  29   0.29293   0.96385   0.01472   0.94913
  30   0.30303   0.94501   0.01453   0.93048
  31   0.31313   0.92236   0.01428   0.90807
  32   0.32323   0.89599   0.01398   0.88201
  33   0.33333   0.86602   0.01362   0.85240
  34   0.34343   0.83256   0.01321   0.81935
  35   0.35354   0.79578   0.01274   0.78304
  36   0.36364   0.75576   0.01222   0.74354
  37   0.37374   0.71270   0.01166   0.70104
  38   0.38384   0.66681   0.01104   0.65577
  39   0.39394   0.61820   0.01038   0.60781
  40   0.40404   0.56709   0.00968   0.55741
  41   0.41414   0.51370   0.00894   0.50476
  42   0.42424   0.45824   0.00817   0.45008
  43   0.43434   0.40094   0.00736   0.39358
  44   0.44444   0.34207   0.00652   0.33556
  45   0.45455   0.28178   0.00566   0.27612
  46   0.46465   0.22035   0.00477   0.21558
  47   0.47475   0.15803   0.00386   0.15417
  48   0.48485   0.09507   0.00294   0.09213
  49   0.49495   0.03174   0.00201   0.02973
  50   0.50505  -0.03173   0.00106   0.03279
  51   0.51515  -0.09507   0.00012   0.09519
  52   0.52525  -0.15796  -0.00083   0.15713
  53   0.53535  -0.22028  -0.00177   0.21851
  54   0.54545  -0.28171  -0.00271   0.27901
  55   0.55556  -0.34201  -0.00363   0.33838
  56   0.56566  -0.40093  -0.00454   0.39639
  57   0.57576  -0.45824  -0.00544   0.45280
  58   0.58586  -0.51370  -0.00631   0.50739
  59   0.59596  -0.56709  -0.00715   0.55993
  60   0.60606  -0.61814  -0.00797   0.61017
  61   0.61616  -0.66676  -0.00875   0.65801
  62   0.62626  -0.71265  -0.00950   0.70315
  63   0.63636  -0.75572  -0.01021   0.74550
  64   0.64646  -0.79574  -0.01088   0.78485
  65   0.65657  -0.83255  -0.01151   0.82104
  66   0.66667  -0.86602  -0.01209   0.85393
  67   0.67677  -0.89599  -0.01262   0.88337
  68   0.68687  -0.92235  -0.01310   0.90926
  69   0.69697  -0.94498  -0.01353   0.93146
  70   0.70707  -0.96383  -0.01390   0.94993
  71   0.71717  -0.97880  -0.01421   0.96458
  72   0.72727  -0.98982  -0.01447   0.97534
  73   0.73737  -0.99685  -0.01468   0.98218
  74   0.74747  -0.99987  -0.01482   0.98506
  75   0.75758  -0.99887  -0.01490   0.98397
  76   0.76768  -0.99384  -0.01492   0.97892
  77   0.77778  -0.98481  -0.01489   0.96993
  78   0.78788  -0.97182  -0.01479   0.95703
  79   0.79798  -0.95491  -0.01463   0.94028
  80   0.80808  -0.93415  -0.01441   0.91973
  81   0.81818  -0.90963  -0.01414   0.89549
  82   0.82828  -0.88144  -0.01381   0.86764
  83   0.83838  -0.84971  -0.01342   0.83629
  84   0.84848  -0.81459  -0.01298   0.80161
  85   0.85859  -0.77615  -0.01249   0.76366
  86   0.86869  -0.73459  -0.01195   0.72265
  87   0.87879  -0.69012  -0.01135   0.67876
  88   0.88889  -0.64282  -0.01072   0.63210
  89   0.89899  -0.59293  -0.01004   0.58290
  90   0.90909  -0.54066  -0.00932   0.53134
  91   0.91919  -0.48621  -0.00856   0.47765
  92   0.92929  -0.42980  -0.00777   0.42203
  93   0.93939  -0.37171  -0.00694   0.36477
  94   0.94949  -0.31208  -0.00609   0.30598
  95   0.95960  -0.25118  -0.00521   0.24597
  96   0.96970  -0.18927  -0.00432   0.18496
  97   0.97980  -0.12661  -0.00340   0.12320
  98   0.98990  -0.06343  -0.00247   0.06095
  99   1.00000   0.00001  -0.00154   0.00154
 
