 i       X     FEXACT   FI_LAXW   ERR_LAXW
   0   0.00000   0.00000   0.94853   0.94853
   1   0.00063   0.00389   0.94976   0.94586
   2   0.00125   0.00786   0.95097   0.94311
   3   0.00188   0.01177   0.95217   0.94040
   4   0.00250   0.01573   0.95336   0.93762
   5   0.00313   0.01964   0.95453   0.93489
   6   0.00375   0.02355   0.95568   0.93214
   7   0.00438   0.02751   0.95682   0.92931
   8   0.00500   0.03142   0.95795   0.92653
   9   0.00563   0.03538   0.95906   0.92368
  10   0.00625   0.03928   0.96016   0.92088
  11   0.00688   0.04319   0.96125   0.91806
  12   0.00750   0.04715   0.96231   0.91516
  13   0.00813   0.05105   0.96337   0.91232
  14   0.00876   0.05501   0.96441   0.90939
  15   0.00938   0.05891   0.96543   0.90652
  16   0.01001   0.06281   0.96645   0.90363
  17   0.01063   0.06677   0.96744   0.90067
  18   0.01126   0.07061   0.96842   0.89782
  19   0.01188   0.07456   0.96939   0.89483
  20   0.01251   0.07846   0.97035   0.89189
  21   0.01313   0.08241   0.97128   0.88887
  22   0.01376   0.08631   0.97221   0.88590
  23   0.01438   0.09020   0.97312   0.88292
  24   0.01501   0.09415   0.97401   0.87987
  25   0.01563   0.09804   0.97490   0.87686
  26   0.01626   0.10198   0.97576   0.87378
  27   0.01689   0.10587   0.97661   0.87074
  28   0.01751   0.10975   0.97745   0.86770
  29   0.01814   0.11369   0.97827   0.86458
  30   0.01876   0.11757   0.97908   0.86151
  31   0.01939   0.12151   0.97988   0.85836
  32   0.02001   0.12539   0.98065   0.85526
  33   0.02064   0.12926   0.98142   0.85215
  34   0.02126   0.13320   0.98217   0.84897
  35   0.02189   0.13707   0.98290   0.84583
  36   0.02251   0.14100   0.98362   0.84262
  37   0.02314   0.14486   0.98432   0.83945
  38   0.02376   0.14873   0.98500   0.83628
  39   0.02439   0.15265   0.98568   0.83303
  40   0.02502   0.15651   0.98633   0.82982
  41   0.02564   0.16042   0.98697   0.82655
  42   0.02627   0.16428   0.98760   0.82332
  43   0.02689   0.16813   0.98821   0.82008
  44   0.02752   0.17204   0.98880   0.81676
  45   0.02814   0.17589   0.98938   0.81349
  46   0.02877   0.17979   0.98994   0.81015
  47   0.02939   0.18363   0.99049   0.80686
  48   0.03002   0.18747   0.99102   0.80355
  49   0.03064   0.19137   0.99154   0.80017
  50   0.03127   0.19520   0.99204   0.79684
  51   0.03189   0.19909   0.99252   0.79343
  52   0.03252   0.20291   0.99299   0.79007
  53   0.03315   0.20674   0.99344   0.78670
  54   0.03377   0.21056   0.99387   0.78331
  55   0.03440   0.21438   0.99429   0.77992
  56   0.03502   0.21825   0.99470   0.77645
  57   0.03565   0.22206   0.99508   0.77302
  58   0.03627   0.22593   0.99546   0.76953
