 i       X     FEXACT   FI_UPWIND   ERR_UP
   0   0.00000   0.00000   0.83826   0.83826
   1   0.00063   0.00389   0.83936   0.83547
   2   0.00125   0.00786   0.84045   0.83259
   3   0.00188   0.01177   0.84153   0.82976
   4   0.00250   0.01573   0.84259   0.82686
   5   0.00313   0.01964   0.84364   0.82400
   6   0.00375   0.02355   0.84468   0.82113
   7   0.00438   0.02751   0.84570   0.81819
   8   0.00500   0.03142   0.84671   0.81529
   9   0.00563   0.03538   0.84771   0.81233
  10   0.00625   0.03928   0.84869   0.80941
  11   0.00688   0.04319   0.84966   0.80647
  12   0.00750   0.04715   0.85062   0.80347
  13   0.00813   0.05105   0.85156   0.80051
  14   0.00876   0.05501   0.85250   0.79748
  15   0.00938   0.05891   0.85341   0.79450
  16   0.01001   0.06281   0.85432   0.79151
  17   0.01063   0.06677   0.85521   0.78844
  18   0.01126   0.07061   0.85609   0.78548
  19   0.01188   0.07456   0.85696   0.78239
  20   0.01251   0.07846   0.85781   0.77935
  21   0.01313   0.08241   0.85865   0.77623
  22   0.01376   0.08631   0.85947   0.77317
  23   0.01438   0.09020   0.86029   0.77009
  24   0.01501   0.09415   0.86108   0.76694
  25   0.01563   0.09804   0.86187   0.76383
  26   0.01626   0.10198   0.86264   0.76066
  27   0.01689   0.10587   0.86340   0.75753
  28   0.01751   0.10975   0.86415   0.75439
  29   0.01814   0.11369   0.86488   0.75118
  30   0.01876   0.11757   0.86560   0.74802
  31   0.01939   0.12151   0.86630   0.74479
  32   0.02001   0.12539   0.86699   0.74160
  33   0.02064   0.12926   0.86767   0.73841
  34   0.02126   0.13320   0.86833   0.73514
  35   0.02189   0.13707   0.86899   0.73192
  36   0.02251   0.14100   0.86962   0.72863
  37   0.02314   0.14486   0.87025   0.72538
  38   0.02376   0.14873   0.87086   0.72213
  39   0.02439   0.15265   0.87146   0.71881
  40   0.02502   0.15651   0.87204   0.71553
  41   0.02564   0.16042   0.87261   0.71219
  42   0.02627   0.16428   0.87317   0.70889
  43   0.02689   0.16813   0.87371   0.70558
  44   0.02752   0.17204   0.87424   0.70220
  45   0.02814   0.17589   0.87476   0.69887
  46   0.02877   0.17979   0.87526   0.69547
  47   0.02939   0.18363   0.87575   0.69212
  48   0.03002   0.18747   0.87623   0.68876
  49   0.03064   0.19137   0.87669   0.68532
  50   0.03127   0.19520   0.87714   0.68194
  51   0.03189   0.19909   0.87757   0.67849
  52   0.03252   0.20291   0.87800   0.67508
  53   0.03315   0.20674   0.87840   0.67167
  54   0.03377   0.21056   0.87880   0.66824
  55   0.03440   0.21438   0.87918   0.66480
  56   0.03502   0.21825   0.87954   0.66130
  57   0.03565   0.22206   0.87990   0.65784
  58   0.03627   0.22593   0.88024   0.65431
  59   0.03690   0.22973   0.88056   0.65083
  60   0.03752   0.23353   0.88088   0.64735
  61   0.03815   0.23739   0.88118   0.64379
  62   0.03877   0.24118   0.88146   0.64028
  63   0.03940   0.24503   0.88173   0.63671
  64   0.04003   0.24881   0.88199   0.63318
  65   0.04065   0.25265   0.88223   0.62958
  66   0.04128   0.25643   0.88246   0.62603
  67   0.04190   0.26020   0.88268   0.62248
  68   0.04253   0.26403   0.88289   0.61885
  69   0.04315   0.26780   0.88307   0.61528
  70   0.04378   0.27162   0.88325   0.61163
  71   0.04440   0.27538   0.88341   0.60804
  72   0.04503   0.27913   0.88356   0.60443
  73   0.04565   0.28294   0.88370   0.60076
  74   0.04628   0.28668   0.88382   0.59714
  75   0.04690   0.29048   0.88393   0.59345
  76   0.04753   0.29421   0.88402   0.58981
  77   0.04816   0.29795   0.88410   0.58616
  78   0.04878   0.30173   0.88417   0.58244
  79   0.04941   0.30545   0.88422   0.57877
  80   0.05003   0.30923   0.88426   0.57504
  81   0.05066   0.31294   0.88429   0.57135
  82   0.05128   0.31665   0.88430   0.56765
  83   0.05191   0.32041   0.88430   0.56389
  84   0.05253   0.32411   0.88428   0.56018
  85   0.05316   0.32786   0.88425   0.55640
  86   0.05378   0.33154   0.88421   0.55267
  87   0.05441   0.33523   0.88416   0.54893
  88   0.05503   0.33890   0.88409   0.54518
  89   0.05566   0.34258   0.88400   0.54142
