 i       X     FEXACT   FI_FTCS   ERR_FTCS
   0  -1.00000   0.00000              NaN              NaN
   1  -0.97980   0.00000              NaN              NaN
   2  -0.95960   0.00000              NaN              NaN
   3  -0.93939   0.00000              NaN              NaN
   4  -0.91919   0.00000              NaN              NaN
   5  -0.89899   0.00000              NaN              NaN
   6  -0.87879   0.00000              NaN              NaN
   7  -0.85859   0.00000              NaN              NaN
   8  -0.83838   0.00000              NaN              NaN
   9  -0.81818   0.00000              NaN              NaN
  10  -0.79798   0.00062              NaN              NaN
  11  -0.77778   0.00948              NaN              NaN
  12  -0.75758   0.07789              NaN              NaN
  13  -0.73737   0.34120              NaN              NaN
  14  -0.71717   0.79703              NaN              NaN
  15  -0.69697   0.99291              NaN              NaN
  16  -0.67677   0.65965              NaN              NaN
  17  -0.65657   0.23372              NaN              NaN
  18  -0.63636   0.04416              NaN              NaN
  19  -0.61616   0.00445              NaN              NaN
  20  -0.59596   0.00000              NaN              NaN
  21  -0.57576   0.00000              NaN              NaN
  22  -0.55556   0.00000              NaN              NaN
  23  -0.53535   0.00000              NaN              NaN
  24  -0.51515   0.00000              NaN              NaN
  25  -0.49495   0.00000              NaN              NaN
  26  -0.47475   0.00000              NaN              NaN
  27  -0.45455   0.00000              NaN              NaN
  28  -0.43434   0.00000              NaN              NaN
  29  -0.41414   0.00000              NaN              NaN
  30  -0.39394   1.00000              NaN              NaN
  31  -0.37374   1.00000              NaN              NaN
  32  -0.35354   1.00000              NaN              NaN
  33  -0.33333   1.00000              NaN              NaN
  34  -0.31313   1.00000              NaN              NaN
  35  -0.29293   1.00000              NaN              NaN
  36  -0.27273   1.00000              NaN              NaN
  37  -0.25253   1.00000              NaN              NaN
  38  -0.23232   1.00000              NaN              NaN
  39  -0.21212   1.00000              NaN              NaN
  40  -0.19192   0.00000              NaN              NaN
  41  -0.17172   0.00000              NaN              NaN
  42  -0.15152   0.00000              NaN              NaN
  43  -0.13131   0.00000              NaN              NaN
  44  -0.11111   0.00000              NaN              NaN
  45  -0.09091   0.00000              NaN              NaN
  46  -0.07071   0.00000              NaN              NaN
  47  -0.05051   0.00000              NaN              NaN
  48  -0.03030   0.00000              NaN              NaN
  49  -0.01010   0.00000              NaN              NaN
  50   0.01010   0.10071              NaN              NaN
  51   0.03030   0.30273              NaN              NaN
  52   0.05051   0.50476              NaN              NaN
  53   0.07071   0.70679              NaN              NaN
  54   0.09091   0.90881              NaN              NaN
  55   0.11111   0.88916              NaN              NaN
  56   0.13131   0.68713              NaN              NaN
  57   0.15152   0.48511              NaN              NaN
  58   0.17172   0.28308              NaN              NaN
  59   0.19192   0.08105              NaN              NaN
  60   0.21212   0.00000              NaN              NaN
  61   0.23232   0.00000              NaN              NaN
  62   0.25253   0.00000              NaN              NaN
  63   0.27273   0.00000              NaN              NaN
  64   0.29293   0.00000              NaN              NaN
  65   0.31313   0.00000              NaN              NaN
  66   0.33333   0.00000              NaN              NaN
  67   0.35354   0.00000              NaN              NaN
  68   0.37374   0.00000              NaN              NaN
  69   0.39394   0.00000              NaN              NaN
  70   0.41414   0.51237              NaN              NaN
  71   0.43434   0.75412              NaN              NaN
  72   0.45455   0.89064              NaN              NaN
  73   0.47475   0.96755              NaN              NaN
  74   0.49495   0.99872              NaN              NaN
  75   0.51515   0.98848              NaN              NaN
  76   0.53535   0.93547              NaN              NaN
  77   0.55556   0.83157              NaN              NaN
  78   0.57576   0.65290              NaN              NaN
  79   0.59596   0.28180              NaN              NaN
  80   0.61616   0.00000              NaN              NaN
  81   0.63636   0.00000              NaN              NaN
  82   0.65657   0.00000              NaN              NaN
  83   0.67677   0.00000              NaN              NaN
  84   0.69697   0.00000              NaN              NaN
  85   0.71717   0.00000              NaN              NaN
  86   0.73737   0.00000              NaN              NaN
  87   0.75758   0.00000              NaN              NaN
  88   0.77778   0.00000              NaN              NaN
  89   0.79798   0.00000              NaN              NaN
  90   0.81818   0.00000              NaN              NaN
  91   0.83838   0.00000              NaN              NaN
  92   0.85859   0.00000              NaN              NaN
  93   0.87879   0.00000              NaN              NaN
  94   0.89899   0.00000              NaN              NaN
  95   0.91919   0.00000              NaN              NaN
  96   0.93939   0.00000              NaN              NaN
  97   0.95960   0.00000              NaN              NaN
  98   0.97980   0.00000              NaN              NaN
  99   1.00000   0.00000              NaN              NaN
 
