 i       X     FEXACT   FI_LAXW   ERR_LAXW
   0  -1.00000   0.00000    0.170218    0.170218
   1  -0.99900   0.00000    0.179352    0.179352
   2  -0.99800   0.00000    0.188305    0.188305
   3  -0.99700   0.00000    0.197093    0.197093
   4  -0.99600   0.00000    0.205730    0.205730
   5  -0.99500   0.00000    0.214233    0.214233
   6  -0.99400   0.00000    0.222615    0.222615
   7  -0.99300   0.00000    0.230894    0.230894
   8  -0.99200   0.00000    0.239086    0.239086
   9  -0.99100   0.00000    0.247206    0.247206
  10  -0.99000   0.00000    0.255271    0.255271
  11  -0.98899   0.00000    0.263295    0.263295
  12  -0.98799   0.00000    0.271294    0.271294
  13  -0.98699   0.00000    0.279283    0.279283
  14  -0.98599   0.00000    0.287275    0.287275
  15  -0.98499   0.00000    0.295284    0.295284
  16  -0.98399   0.00000    0.303321    0.303321
  17  -0.98299   0.00000    0.311399    0.311399
  18  -0.98199   0.00000    0.319528    0.319528
  19  -0.98099   0.00000    0.327718    0.327718
  20  -0.97999   0.00000    0.335976    0.335976
  21  -0.97899   0.00000    0.344310    0.344310
  22  -0.97799   0.00000    0.352727    0.352727
  23  -0.97699   0.00000    0.361230    0.361230
  24  -0.97599   0.00000    0.369824    0.369824
  25  -0.97499   0.00000    0.378510    0.378510
  26  -0.97399   0.00000    0.387290    0.387290
  27  -0.97299   0.00000    0.396163    0.396163
  28  -0.97199   0.00000    0.405127    0.405127
  29  -0.97099   0.00000    0.414179    0.414179
  30  -0.96999   0.00000    0.423314    0.423314
  31  -0.96898   0.00000    0.432528    0.432528
  32  -0.96798   0.00000    0.441813    0.441813
  33  -0.96698   0.00000    0.451160    0.451160
  34  -0.96598   0.00000    0.460561    0.460561
  35  -0.96498   0.00000    0.470005    0.470005
  36  -0.96398   0.00000    0.479479    0.479479
  37  -0.96298   0.00000    0.488972    0.488972
  38  -0.96198   0.00000    0.498469    0.498469
  39  -0.96098   0.00000    0.507955    0.507955
  40  -0.95998   0.00000    0.517416    0.517416
  41  -0.95898   0.00000    0.526835    0.526835
  42  -0.95798   0.00000    0.536195    0.536195
  43  -0.95698   0.00000    0.545477    0.545477
  44  -0.95598   0.00000    0.554665    0.554665
  45  -0.95498   0.00000    0.563739    0.563739
  46  -0.95398   0.00000    0.572679    0.572679
  47  -0.95298   0.00000    0.581466    0.581466
  48  -0.95198   0.00000    0.590081    0.590081
  49  -0.95098   0.00000    0.598503    0.598503
  50  -0.94998   0.00000    0.606713    0.606713
  51  -0.94897   0.00000    0.614691    0.614691
  52  -0.94797   0.00000    0.622416    0.622416
  53  -0.94697   0.00000    0.629869    0.629869
  54  -0.94597   0.00000    0.637032    0.637032
  55  -0.94497   0.00000    0.643885    0.643885
  56  -0.94397   0.00000    0.650410    0.650410
  57  -0.94297   0.00000    0.656588    0.656588
  58  -0.94197   0.00000    0.662404    0.662404
  59  -0.94097   0.00000    0.667840    0.667840
  60  -0.93997   0.00000    0.672881    0.672881
  61  -0.93897   0.00000    0.677512    0.677512
  62  -0.93797   0.00000    0.681720    0.681720
  63  -0.93697   0.00000    0.685491    0.685491
  64  -0.93597   0.00000    0.688815    0.688815
  65  -0.93497   0.00000    0.691681    0.691681
  66  -0.93397   0.00000    0.694080    0.694080
  67  -0.93297   0.00000    0.696003    0.696003
  68  -0.93197   0.00000    0.697444    0.697444
  69  -0.93097   0.00000    0.698398    0.698398
