 i       X     FEXACT   FI_LAXF   ERR_LAXF
   0  -1.00000   0.00000    0.261739    0.261739
   1  -0.99499   0.00000    0.261732    0.261732
   2  -0.98997   0.00000    0.261736    0.261736
   3  -0.98496   0.00000    0.261724    0.261724
   4  -0.97995   0.00000    0.261732    0.261732
   5  -0.97494   0.00000    0.261716    0.261716
   6  -0.96992   0.00000    0.261727    0.261727
   7  -0.96491   0.00000    0.261706    0.261706
   8  -0.95990   0.00000    0.261721    0.261721
   9  -0.95489   0.00000    0.261696    0.261696
  10  -0.94987   0.00000    0.261714    0.261714
  11  -0.94486   0.00000    0.261685    0.261685
  12  -0.93985   0.00000    0.261706    0.261706
  13  -0.93484   0.00000    0.261672    0.261672
  14  -0.92982   0.00000    0.261697    0.261697
  15  -0.92481   0.00000    0.261659    0.261659
  16  -0.91980   0.00000    0.261687    0.261687
  17  -0.91479   0.00000    0.261644    0.261644
  18  -0.90977   0.00000    0.261676    0.261676
  19  -0.90476   0.00000    0.261629    0.261629
  20  -0.89975   0.00000    0.261664    0.261664
  21  -0.89474   0.00000    0.261612    0.261612
  22  -0.88972   0.00000    0.261651    0.261651
  23  -0.88471   0.00000    0.261595    0.261595
  24  -0.87970   0.00000    0.261638    0.261638
  25  -0.87469   0.00000    0.261577    0.261577
  26  -0.86967   0.00000    0.261623    0.261623
  27  -0.86466   0.00000    0.261558    0.261558
  28  -0.85965   0.00000    0.261607    0.261607
  29  -0.85464   0.00000    0.261538    0.261538
  30  -0.84962   0.00000    0.261591    0.261591
  31  -0.84461   0.00000    0.261517    0.261517
  32  -0.83960   0.00000    0.261574    0.261574
  33  -0.83459   0.00000    0.261496    0.261496
  34  -0.82957   0.00000    0.261555    0.261555
  35  -0.82456   0.00000    0.261474    0.261474
  36  -0.81955   0.00000    0.261537    0.261537
  37  -0.81454   0.00000    0.261450    0.261450
  38  -0.80952   0.00000    0.261517    0.261517
  39  -0.80451   0.00000    0.261427    0.261427
  40  -0.79950   0.00049    0.261497    0.261008
  41  -0.79449   0.00103    0.261402    0.260371
  42  -0.78947   0.00210    0.261476    0.259380
  43  -0.78446   0.00410    0.261377    0.257279
  44  -0.77945   0.00777    0.261454    0.253686
  45  -0.77444   0.01406    0.261351    0.247296
  46  -0.76942   0.02447    0.261431    0.236963
  47  -0.76441   0.04098    0.261324    0.220340
  48  -0.75940   0.06605    0.261408    0.195359
  49  -0.75439   0.10241    0.261297    0.158883
  50  -0.74937   0.15279    0.261384    0.108594
  51  -0.74436   0.21932    0.261269    0.041951
  52  -0.73935   0.30402    0.261360    0.042663
  53  -0.73434   0.40380    0.261241    0.142562
  54  -0.72932   0.51603    0.261335    0.254696
  55  -0.72431   0.63449    0.261213    0.373279
  56  -0.71930   0.75062    0.261310    0.489308
  57  -0.71429   0.85439    0.261184    0.593205
  58  -0.70927   0.93570    0.261284    0.674414
  59  -0.70426   0.98596    0.261155    0.724805
  60  -0.69925   0.99953    0.261259    0.738271
  61  -0.69424   0.97455    0.261126    0.713419
  62  -0.68922   0.91422    0.261233    0.652989
  63  -0.68421   0.82517    0.261097    0.564075
  64  -0.67920   0.71661    0.261207    0.455400
  65  -0.67419   0.59877    0.261068    0.337703
  66  -0.66917   0.48138    0.261181    0.220194
  67  -0.66416   0.37235    0.261039    0.111311
  68  -0.65915   0.27605    0.261155    0.014898
  69  -0.65414   0.19758    0.261009    0.063430
  70  -0.64912   0.13606    0.261129    0.125068
  71  -0.64411   0.09015    0.260980    0.170829
  72  -0.63910   0.05747    0.261103    0.203632
  73  -0.63409   0.03525    0.260951    0.225700
  74  -0.62907   0.02080    0.261077    0.240273
  75  -0.62406   0.01181    0.260922    0.249109
  76  -0.61905   0.00640    0.261051    0.254646
