 i       X     FEXACT   FI_UPWIND   ERR_UP
   0  -1.00000   0.00000    0.106060    0.106060
   1  -0.97980   0.20202    0.182564    0.019456
   2  -0.95960   0.40404    0.285321    0.118720
   3  -0.93939   0.60606    0.404576    0.201484
   4  -0.91919   0.80808    0.520319    0.287763
   5  -0.89899   0.98990    0.606717    0.383182
   6  -0.87879   0.78788    0.640777    0.147102
   7  -0.85859   0.58586    0.611479    0.025620
   8  -0.83838   0.38384    0.524922    0.141083
   9  -0.81818   0.18182    0.402630    0.220812
  10  -0.79798   0.00000    0.273238    0.273238
  11  -0.77778   0.00000    0.161632    0.161632
  12  -0.75758   0.00000    0.081410    0.081410
  13  -0.73737   0.00000    0.033883    0.033883
  14  -0.71717   0.00000    0.012197    0.012197
  15  -0.69697   0.00000    0.007374    0.007374
  16  -0.67677   0.00000    0.013751    0.013751
  17  -0.65657   0.00000    0.031917    0.031917
  18  -0.63636   0.00000    0.068357    0.068357
  19  -0.61616   0.00000    0.132518    0.132518
  20  -0.59596   0.28138    0.232001    0.049378
  21  -0.57576   0.65275    0.366341    0.286407
  22  -0.55556   0.83148    0.522117    0.309362
  23  -0.53535   0.93542    0.674082    0.261339
  24  -0.51515   0.98845    0.794110    0.194345
  25  -0.49495   0.99872    0.862646    0.136078
  26  -0.47475   0.96759    0.873704    0.093886
  27  -0.45455   0.89072    0.830698    0.060025
  28  -0.43434   0.75427    0.740195    0.014074
  29  -0.41414   0.51267    0.611223    0.098553
  30  -0.39394   0.00000    0.458790    0.458790
  31  -0.37374   0.00000    0.304826    0.304826
  32  -0.35354   0.00000    0.173072    0.173072
  33  -0.33333   0.00000    0.080028    0.080028
  34  -0.31313   0.00000    0.028054    0.028054
  35  -0.29293   0.00000    0.006583    0.006583
  36  -0.27273   0.00000    0.000771    0.000771
  37  -0.25253   0.00000    0.000000    0.000000
  38  -0.23232   0.00000    0.000000    0.000000
  39  -0.21212   0.00000    0.000000    0.000000
  40  -0.19192   0.00000    0.000000    0.000000
  41  -0.17172   0.00000    0.000000    0.000000
  42  -0.15152   0.00000    0.000000    0.000000
  43  -0.13131   0.00000    0.000000    0.000000
  44  -0.11111   0.00000    0.000000    0.000000
  45  -0.09091   0.00000    0.000000    0.000000
  46  -0.07071   0.00000    0.000000    0.000000
  47  -0.05051   0.00000    0.000000    0.000000
  48  -0.03030   0.00000    0.000000    0.000000
  49  -0.01010   0.00000    0.000000    0.000000
  50   0.01010   0.00000    0.000001    0.000001
  51   0.03030   0.00000    0.000004    0.000004
  52   0.05051   0.00000    0.000017    0.000017
  53   0.07071   0.00000    0.000063    0.000063
  54   0.09091   0.00000    0.000218    0.000218
  55   0.11111   0.00000    0.000700    0.000700
  56   0.13131   0.00000    0.002069    0.002069
  57   0.15152   0.00000    0.005627    0.005627
  58   0.17172   0.00000    0.014022    0.014022
  59   0.19192   0.00000    0.031895    0.031895
  60   0.21212   0.00261    0.065936    0.063325
  61   0.23232   0.02938    0.123243    0.093864
  62   0.25253   0.17625    0.207038    0.030786
  63   0.27273   0.56392    0.310430    0.253486
  64   0.29293   0.96223    0.412051    0.550176
  65   0.31313   0.87564    0.479508    0.396132
  66   0.33333   0.42497    0.483560    0.058590
  67   0.35354   0.11000    0.416676    0.306680
  68   0.37374   0.01518    0.301544    0.286360
  69   0.39394   0.00112    0.179405    0.178287
  70   0.41414   0.00000    0.085476    0.085476
  71   0.43434   0.00000    0.031731    0.031731
  72   0.45455   0.00000    0.009553    0.009553
  73   0.47475   0.00000    0.004656    0.004656
  74   0.49495   0.00000    0.008642    0.008642
  75   0.51515   0.00000    0.021454    0.021454
  76   0.53535   0.00000    0.049411    0.049411
  77   0.55556   0.00000    0.102970    0.102970
  78   0.57576   0.00000    0.193348    0.193348
  79   0.59596   0.00000    0.326137    0.326137
  80   0.61616   1.00000    0.493411    0.506589
  81   0.63636   1.00000    0.670373    0.329627
  82   0.65657   1.00000    0.823005    0.176995
  83   0.67677   1.00000    0.925115    0.074885
  84   0.69697   1.00000    0.971774    0.028226
  85   0.71717   1.00000    0.975820    0.024180
  86   0.73737   1.00000    0.950589    0.049411
  87   0.75758   1.00000    0.897029    0.102971
  88   0.77778   1.00000    0.806648    0.193352
  89   0.79798   1.00000    0.673845    0.326155
  90   0.81818   0.00000    0.506521    0.506521
  91   0.83838   0.00000    0.329381    0.329381
  92   0.85859   0.00000    0.176184    0.176184
  93   0.87879   0.00000    0.072442    0.072442
  94   0.89899   0.00000    0.021522    0.021522
  95   0.91919   0.00000    0.007477    0.007477
  96   0.93939   0.00000    0.011813    0.011813
  97   0.95960   0.00000    0.026931    0.026931
  98   0.97980   0.00000    0.056009    0.056009
  99   1.00000   0.00000    0.106060    0.106060
 
